time	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.163503650774069e-05	2.878514e-03	-4.522293e-10	-2.878513e-03
1.832700730154814e-04	5.756449e-03	2.840866e-12	-5.756449e-03
2.749051095232221e-04	8.633806e-03	1.365211e-09	-8.633806e-03
3.665401460309628e-04	1.151058e-02	3.634880e-09	-1.151059e-02
4.581751825387035e-04	1.438678e-02	6.811848e-09	-1.438679e-02
5.498102190464441e-04	1.726240e-02	1.089612e-08	-1.726241e-02
6.414452555541846e-04	2.013744e-02	1.588768e-08	-2.013746e-02
7.997436754676583e-04	2.510266e-02	3.077685e-08	-2.510269e-02
9.971253768819598e-04	3.129132e-02	5.961574e-08	-3.129138e-02
1.243385981695759e-03	3.900870e-02	1.155057e-07	-3.900881e-02
1.550589826754272e-03	4.862994e-02	2.238056e-07	-4.863016e-02
1.934014683794144e-03	6.062893e-02	4.337628e-07	-6.062937e-02
2.412629222610750e-03	7.559207e-02	8.408379e-07	-7.559291e-02
3.010395228007223e-03	9.425703e-02	1.630499e-06	-9.425867e-02
3.757261192719452e-03	1.175408e-01	3.162834e-06	-1.175440e-01
4.691090059990519e-03	1.465949e-01	6.138298e-06	-1.466010e-01
5.859529611412486e-03	1.828552e-01	1.191978e-05	-1.828671e-01
7.323070930100751e-03	2.281239e-01	2.316442e-05	-2.281470e-01
9.158506934281810e-03	2.846668e-01	4.453402e-05	-2.847113e-01
1.111163193428181e-02	3.445541e-01	7.766960e-05	-3.446318e-01
1.306475693428181e-02	4.041319e-01	1.238609e-04	-4.042558e-01
1.501788193428181e-02	4.633858e-01	1.853967e-04	-4.635712e-01
1.697100693428181e-02	5.223057e-01	2.643615e-04	-5.225701e-01
1.892413193428181e-02	5.808819e-01	3.627858e-04	-5.812447e-01
2.087725693428181e-02	6.391047e-01	4.826470e-04	-6.395873e-01
2.283038193428181e-02	6.969644e-01	6.258701e-04	-6.975902e-01
2.478350693428181e-02	7.544516e-01	7.943283e-04	-7.552459e-01
2.673663193428181e-02	8.115568e-01	9.898434e-04	-8.125467e-01
2.868975693428181e-02	8.682709e-01	1.214187e-03	-8.694850e-01
3.064288193428181e-02	9.245845e-01	1.469080e-03	-9.260536e-01
3.259600693428181e-02	9.804887e-01	1.756195e-03	-9.822449e-01
3.454913193428181e-02	1.035975e+00	2.077154e-03	-1.038052e+00
3.650225693428181e-02	1.091033e+00	2.433533e-03	-1.093466e+00
3.845538193428181e-02	1.145655e+00	2.826858e-03	-1.148482e+00
4.040850693428181e-02	1.199833e+00	3.258611e-03	-1.203092e+00
4.236163193428181e-02	1.253558e+00	3.730224e-03	-1.257288e+00
4.431475693428181e-02	1.306821e+00	4.243085e-03	-1.311064e+00
4.626788193428181e-02	1.359614e+00	4.798537e-03	-1.364412e+00
4.822100693428181e-02	1.411929e+00	5.397877e-03	-1.417327e+00
5.017413193428181e-02	1.463758e+00	6.042358e-03	-1.469800e+00
5.212725693428181e-02	1.515092e+00	6.733189e-03	-1.521826e+00
5.408038193428181e-02	1.565925e+00	7.471536e-03	-1.573397e+00
5.603350693428181e-02	1.616248e+00	8.258523e-03	-1.624506e+00
5.798663193428181e-02	1.666053e+00	9.095231e-03	-1.675149e+00
5.993975693428181e-02	1.715334e+00	9.982700e-03	-1.725317e+00
6.384600693428180e-02	1.812291e+00	1.191387e-02	-1.824204e+00
6.775225693428180e-02	1.907060e+00	1.405953e-02	-1.921119e+00
7.165850693428180e-02	1.999586e+00	1.642655e-02	-2.016012e+00
7.556475693428180e-02	2.089814e+00	1.902117e-02	-2.108835e+00
7.947100693428180e-02	2.177692e+00	2.184902e-02	-2.199541e+00
8.337725693428180e-02	2.263169e+00	2.491517e-02	-2.288085e+00
8.923663193428180e-02	2.386777e+00	2.997081e-02	-2.416748e+00
9.509600693428180e-02	2.504718e+00	3.558526e-02	-2.540303e+00
1.009553819342818e-01	2.616843e+00	4.176855e-02	-2.658611e+00
1.068147569342818e-01	2.723015e+00	4.852803e-02	-2.771543e+00
1.160223462199961e-01	2.878267e+00	6.039095e-02	-2.938658e+00
1.252299355057104e-01	3.017263e+00	7.364003e-02	-3.090903e+00
1.344375247914247e-01	3.140002e+00	8.827529e-02	-3.228277e+00
1.436451140771390e-01	3.246485e+00	1.042967e-01	-3.350781e+00
1.528527033628533e-01	3.336711e+00	1.217043e-01	-3.458416e+00
1.620602926485675e-01	3.410682e+00	1.404981e-01	-3.551180e+00
1.712678819342818e-01	3.468396e+00	1.606780e-01	-3.629074e+00
1.824285962199961e-01	3.514273e+00	1.870805e-01	-3.701354e+00
1.935893105057104e-01	3.535860e+00	2.147302e-01	-3.750590e+00
2.047500247914247e-01	3.533157e+00	2.436270e-01	-3.776784e+00
2.159107390771390e-01	3.506165e+00	2.737710e-01	-3.779936e+00
2.270714533628533e-01	3.454883e+00	3.051622e-01	-3.760045e+00
2.382321676485675e-01	3.379311e+00	3.378006e-01	-3.717112e+00
2.493928819342818e-01	3.279449e+00	3.716862e-01	-3.651136e+00
2.625067212199961e-01	3.130063e+00	4.125852e-01	-3.542648e+00
2.756205605057104e-01	2.955152e+00	4.530373e-01	-3.408189e+00
2.887343997914247e-01	2.754715e+00	4.930422e-01	-3.247757e+00
3.018482390771389e-01	2.528752e+00	5.326002e-01	-3.061352e+00
3.149620783628532e-01	2.277265e+00	5.717111e-01	-2.848976e+00
3.280759176485675e-01	2.000252e+00	6.103751e-01	-2.610627e+00
3.411897569342818e-01	1.697713e+00	6.485919e-01	-2.346305e+00
3.487232390771389e-01	1.517071e+00	6.694404e-01	-2.186512e+00
