time	I(C1)**2	I(L1)**2	I(R1)**2
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.163503650774069e-05	8.285843e-06	2.045113e-19	8.285839e-06
1.832700730154814e-04	3.313671e-05	8.070519e-24	3.313670e-05
2.749051095232221e-04	7.454260e-05	1.863800e-18	7.454261e-05
3.665401460309628e-04	1.324935e-04	1.321235e-17	1.324936e-04
4.581751825387035e-04	2.069795e-04	4.640128e-17	2.069797e-04
5.498102190464441e-04	2.979905e-04	1.187254e-16	2.979909e-04
6.414452555541846e-04	4.055166e-04	2.524185e-16	4.055173e-04
7.997436754676583e-04	6.301435e-04	9.472145e-16	6.301450e-04
9.971253768819598e-04	9.791468e-04	3.554036e-15	9.791505e-04
1.243385981695759e-03	1.521678e-03	1.334158e-14	1.521687e-03
1.550589826754272e-03	2.364871e-03	5.008893e-14	2.364892e-03
1.934014683794144e-03	3.675867e-03	1.881502e-13	3.675920e-03
2.412629222610750e-03	5.714161e-03	7.070084e-13	5.714288e-03
3.010395228007223e-03	8.884389e-03	2.658527e-12	8.884696e-03
3.757261192719452e-03	1.381584e-02	1.000352e-11	1.381659e-02
4.691090059990519e-03	2.149006e-02	3.767870e-11	2.149186e-02
5.859529611412486e-03	3.343601e-02	1.420813e-10	3.344037e-02
7.323070930100751e-03	5.204050e-02	5.365906e-10	5.205107e-02
9.158506934281810e-03	8.103519e-02	1.983279e-09	8.106054e-02
1.111163193428181e-02	1.187175e-01	6.032567e-09	1.187711e-01
1.306475693428181e-02	1.633226e-01	1.534151e-08	1.634227e-01
1.501788193428181e-02	2.147264e-01	3.437195e-08	2.148982e-01
1.697100693428181e-02	2.728033e-01	6.988700e-08	2.730795e-01
1.892413193428181e-02	3.374238e-01	1.316135e-07	3.378454e-01
2.087725693428181e-02	4.084548e-01	2.329481e-07	4.090720e-01
2.283038193428181e-02	4.857594e-01	3.917134e-07	4.866321e-01
2.478350693428181e-02	5.691972e-01	6.309574e-07	5.703964e-01
2.673663193428181e-02	6.586245e-01	9.797899e-07	6.602321e-01
